			Project	Task	Description	Billable	Start date	Start time	End date	End time	Duration	Tags	Amount ()
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	19-10-17	0:40:16	19-10-17	1:05:16	0:25:00	Sprint-4	
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	19-10-17	3:22:11	19-10-17	3:47:11	0:25:00	Sprint-4	
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	19-10-17	3:51:49	19-10-17	4:16:49	0:25:00	Sprint-4	
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	19-10-17	7:01:39	19-10-17	7:26:39	0:25:00	Sprint-4	
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	19-10-17	7:43:43	19-10-17	8:08:43	0:25:00	Sprint-4	
			learn web dev		#692 4.1 JavaScript Basics Codecademy ~ 10 hrs	No	21-10-17	22:49:06	21-10-17	22:55:40	0:06:34	Sprint-4	
			learn web dev		#695 0.2 Master your tools	No	31-10-17	10:01:37	31-10-17	10:13:10	0:11:33	Sprint-4	
			learn web dev		#696 0.1 Sprint Concepts	No	19-10-17	1:21:05	19-10-17	1:45:05	0:24:00	Sprint-4	
			learn web dev		#696 0.1 Sprint Concepts	No	31-10-17	15:54:21	31-10-17	16:14:57	0:20:36	Sprint-4	
													
Project	Registered time												
learn web dev	21:23:02												
